Cantidad de hilos: 1, Tiempo: 117 ms
Cantidad de hilos: 2, Tiempo: 102 ms
Cantidad de hilos: 3, Tiempo: 89 ms
Cantidad de hilos: 4, Tiempo: 80 ms
Cantidad de hilos: 5, Tiempo: 75 ms
Cantidad de hilos: 6, Tiempo: 74 ms
Cantidad de hilos: 7, Tiempo: 71 ms
Cantidad de hilos: 8, Tiempo: 72 ms
Cantidad de hilos: 9, Tiempo: 73 ms
Cantidad de hilos: 10, Tiempo: 71 ms
Cantidad de hilos: 11, Tiempo: 72 ms
Cantidad de hilos: 12, Tiempo: 74 ms
Cantidad de hilos: 13, Tiempo: 73 ms
Cantidad de hilos: 14, Tiempo: 75 ms
Cantidad de hilos: 15, Tiempo: 74 ms
Cantidad de hilos: 16, Tiempo: 76 ms
Cantidad de hilos: 17, Tiempo: 76 ms
Cantidad de hilos: 18, Tiempo: 79 ms
Cantidad de hilos: 19, Tiempo: 80 ms
Cantidad de hilos: 20, Tiempo: 81 ms
Cantidad de hilos: 21, Tiempo: 82 ms
Cantidad de hilos: 22, Tiempo: 82 ms
Cantidad de hilos: 23, Tiempo: 84 ms
Cantidad de hilos: 24, Tiempo: 85 ms
Cantidad de hilos: 25, Tiempo: 83 ms
Cantidad de hilos: 26, Tiempo: 83 ms
Cantidad de hilos: 27, Tiempo: 83 ms
Cantidad de hilos: 28, Tiempo: 84 ms
Cantidad de hilos: 29, Tiempo: 84 ms
Cantidad de hilos: 30, Tiempo: 85 ms
Cantidad de hilos: 31, Tiempo: 85 ms
Cantidad de hilos: 32, Tiempo: 84 ms
Cantidad de hilos: 33, Tiempo: 88 ms
Cantidad de hilos: 34, Tiempo: 86 ms
Cantidad de hilos: 35, Tiempo: 86 ms
Cantidad de hilos: 36, Tiempo: 87 ms
Cantidad de hilos: 37, Tiempo: 86 ms
Cantidad de hilos: 38, Tiempo: 86 ms
Cantidad de hilos: 39, Tiempo: 86 ms
Cantidad de hilos: 40, Tiempo: 83 ms
Cantidad de hilos: 41, Tiempo: 84 ms
Cantidad de hilos: 42, Tiempo: 84 ms
Cantidad de hilos: 43, Tiempo: 84 ms
Cantidad de hilos: 44, Tiempo: 83 ms
Cantidad de hilos: 45, Tiempo: 91 ms
Cantidad de hilos: 46, Tiempo: 86 ms
Cantidad de hilos: 47, Tiempo: 86 ms
Cantidad de hilos: 48, Tiempo: 88 ms
Cantidad de hilos: 49, Tiempo: 87 ms
Cantidad de hilos: 50, Tiempo: 86 ms
Cantidad de hilos: 51, Tiempo: 85 ms
Cantidad de hilos: 52, Tiempo: 85 ms
Cantidad de hilos: 53, Tiempo: 84 ms
Cantidad de hilos: 54, Tiempo: 85 ms
Cantidad de hilos: 55, Tiempo: 86 ms
Cantidad de hilos: 56, Tiempo: 86 ms
Cantidad de hilos: 57, Tiempo: 85 ms
Cantidad de hilos: 58, Tiempo: 85 ms
Cantidad de hilos: 59, Tiempo: 90 ms
Cantidad de hilos: 60, Tiempo: 90 ms
Cantidad de hilos: 61, Tiempo: 85 ms
Cantidad de hilos: 62, Tiempo: 86 ms
Cantidad de hilos: 63, Tiempo: 86 ms
Cantidad de hilos: 64, Tiempo: 87 ms
Cantidad de hilos: 65, Tiempo: 88 ms
Cantidad de hilos: 66, Tiempo: 88 ms
